Player Number,Player First Name,Player Last Name,Hole Number,Round,Total Distance,Actual Side,Course Name,Fwy Width 250,Fwy Width 275,Fwy Width 300,Fwy Width 325,Fwy Width 350
26596,Ryan,Moore,5,1,10187,-79.51200103759766000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
26596,Ryan,Moore,5,2,10405,-22.54299926757812500000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
26596,Ryan,Moore,5,4,10407,16.39299964904785000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1249,John,Daly,5,1,10381,24.23200035095215000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1249,John,Daly,5,3,9137,15.35700035095214800000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1249,John,Daly,5,4,11541,26.77799987792968800000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1810,Phil,Mickelson,5,1,10934,78.58399963378906000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1810,Phil,Mickelson,5,2,10169,40.75000000000000000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1810,Phil,Mickelson,5,3,11274,-59.47399902343750000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
1810,Phil,Mickelson,5,4,9977,15.05300045013427700000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
12510,Chad,Campbell,5,1,10633,-5.31099987030029300000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
12510,Chad,Campbell,5,2,10502,26.72599983215332000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
12510,Chad,Campbell,5,3,11358,58.10900115966797000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
12510,Chad,Campbell,5,4,9587,-78.40499877929688000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
25900,Lucas,Glover,5,1,10853,76.16500091552734000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
25900,Lucas,Glover,5,2,10442,74.53900146484375000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
25900,Lucas,Glover,5,3,10925,45.79199981689453000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
25900,Lucas,Glover,5,4,11970,78.08100128173828000000,Silverado Resort and Spa North,22.00,23.00,21.00,21.00,21.00
